2017-01-16 13:49:23 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 13:49:10

2017-01-16 13:49:28 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 13:49:15

2017-01-16 13:49:33 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 13:49:20

2017-01-16 13:49:38 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 13:49:25

2017-01-16 13:49:43 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 13:49:30

2017-01-16 14:04:47 [DBG] [socketserver.go:70] [haina.im/monitor/monitor_centre/protocol.(*SocketServer).Echo] Can't receive
2017-01-16 14:04:47 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 14:04:36

2017-01-16 14:04:52 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 14:04:51

2017-01-16 14:04:57 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 14:04:51

2017-01-16 14:05:02 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 14:04:52

2017-01-16 14:05:07 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 14:04:56

2017-01-16 14:05:12 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 14:05:01

2017-01-16 14:05:17 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 14:05:06

2017-01-16 14:05:22 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 14:05:12

2017-01-16 14:05:27 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 14:05:16

2017-01-16 14:05:32 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 14:05:21

2017-01-16 14:05:37 [DBG] [socketserver.go:70] [haina.im/monitor/monitor_centre/protocol.(*SocketServer).Echo] Can't receive
2017-01-16 14:05:37 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 14:05:26

2017-01-16 14:05:42 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 14:05:26

2017-01-16 14:05:47 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 14:05:47

2017-01-16 14:05:52 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 14:05:48

2017-01-16 14:05:57 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 14:05:48

2017-01-16 14:05:59 [DBG] [socketserver.go:70] [haina.im/monitor/monitor_centre/protocol.(*SocketServer).Echo] Can't receive
2017-01-16 14:06:02 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 14:05:48

2017-01-16 14:21:25 [DBG] [mail.go:49] [haina.im/monitor/monitor_centre/protocol.SendMail] send email
2017-01-16 14:21:26 [DBG] [mail.go:55] [haina.im/monitor/monitor_centre/protocol.SendMail] send mail success!
2017-01-16 14:26:25 [DBG] [mail.go:49] [haina.im/monitor/monitor_centre/protocol.SendMail] send email
